,cloudiness,humidity,lat,lon,name,temp,wind
0,0,81,-33.02,27.91,"east london, za",50.0,6.93
1,7,51,-46.28,169.85,"kaitangata, nz",48.99,18.99
2,58,70,38.52,-28.7,"ribeira grande, pt",68.82,5.53
3,54,55,-1.83,-56.23,"amapa, br",79.98,2.53
4,11,65,-37.62,-73.65,"lebu, cl",50.46,12.73
5,63,84,-33.59,26.89,"port alfred, za",51.01,1.99
6,40,44,39.45,75.98,"kashi, cn",75.2,8.95
7,0,57,34.9,108.95,"tongchuan, cn",80.6,4.47
8,90,86,69.44,-133.03,"tuktoyaktuk, ca",39.2,17.22
9,100,82,4.95,-77.37,"pizarro, co",78.18,3.83
10,0,73,40.1,27.65,"gonen, tr",70.45,20.8
11,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
12,75,86,-42.48,-73.76,"castro, cl",41.0,6.93
13,89,60,59.7,150.17,"arman, ru",59.28,3.74
14,100,97,77.48,-69.36,"qaanaaq, gl",34.44,15.64
15,75,100,37.4,136.9,"wajima, jp",71.6,8.05
16,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
17,100,76,16.28,-0.04,"gao, ml",78.18,9.01
18,0,73,-34.42,19.24,"hermanus, za",48.99,1.01
19,9,68,15.69,-93.21,"pijijiapan, mx",86.82,2.28
20,90,52,-21.36,55.77,"saint-philippe, re",65.53,6.93
21,40,69,-21.2,-175.2,"vaini, to",75.2,10.29
22,0,80,-3.0,-47.35,"paragominas, br",72.96,3.31
23,100,90,50.29,130.28,"talakan, ru",58.92,6.33
24,1,55,60.48,-151.07,"soldotna, us",60.12,10.29
25,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
26,1,66,70.47,-68.59,"clyde river, ca",48.2,4.7
27,99,85,27.97,-114.04,"guerrero negro, mx",69.36,12.59
28,75,88,-53.16,-70.91,"punta arenas, cl",35.29,23.04
29,40,69,-21.2,-175.2,"vaini, to",75.2,10.29
30,0,47,-32.49,137.76,"port augusta, au",56.64,9.17
31,1,82,39.51,-90.4,"barrow, us",64.72,5.82
32,100,97,50.68,156.12,"severo-kurilsk, ru",49.74,8.03
33,100,90,73.51,80.55,"dikson, ru",43.62,14.79
34,0,86,-33.01,17.94,"saldanha, za",37.4,15.82
35,75,88,-27.6,-48.55,"florianopolis, br",60.87,9.17
36,40,68,50.03,-66.88,"port-cartier, ca",64.2,14.99
37,90,87,65.28,-126.83,"norman wells, ca",46.4,6.93
38,100,57,70.62,147.9,"chokurdakh, ru",38.22,9.35
39,100,90,73.51,80.55,"dikson, ru",43.62,14.79
40,0,34,39.25,117.8,"hangu, cn",80.6,15.66
41,75,94,41.28,-70.1,"nantucket, us",72.01,11.41
42,60,90,-0.74,-90.35,"puerto ayora, ec",71.01,5.01
43,75,71,69.49,88.39,"talnakh, ru",55.4,13.42
44,88,78,14.9,-24.5,"sao filipe, cv",78.54,10.11
45,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
46,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
47,75,88,-20.52,57.52,"souillac, mu",68.86,3.36
48,0,80,-33.64,115.35,"busselton, au",65.39,8.99
49,75,73,28.66,-17.92,"los llanos de aridane, es",69.37,12.75
50,75,88,-20.41,57.7,"mahebourg, mu",68.88,3.36
51,44,74,-46.6,168.33,"bluff, nz",46.99,11.01
52,99,82,-7.93,-14.42,"georgetown, sh",73.32,17.52
53,13,20,47.96,80.43,"ayagoz, kz",80.16,2.89
54,100,83,-7.95,110.28,"bambanglipuro, id",73.14,6.11
55,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
56,0,38,-35.02,117.88,"albany, au",73.4,13.87
57,59,93,2.42,30.99,"paidha, ug",58.74,2.77
58,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
59,53,96,-33.69,-53.46,"chuy, uy",60.36,9.82
60,100,90,73.51,80.55,"dikson, ru",43.62,14.79
61,95,94,-21.21,-159.78,"avarua, ck",71.6,11.41
62,100,98,64.25,-15.21,"hofn, is",36.96,1.81
63,0,80,-33.93,18.42,"cape town, za",43.43,1.12
64,0,87,59.7,30.79,"nikolskoye, ru",51.26,4.47
65,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
66,0,80,-33.93,18.42,"cape town, za",43.43,1.12
67,1,82,39.51,-90.4,"barrow, us",64.72,5.82
68,100,83,58.94,69.13,"turtas, ru",50.1,7.2
69,37,46,60.75,-137.51,"haines junction, ca",56.22,3.87
70,0,38,-35.02,117.88,"albany, au",73.4,13.87
71,100,58,66.15,-65.72,"pangnirtung, ca",43.98,1.32
72,33,84,51.23,-101.35,"roblin, ca",51.54,12.24
73,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
74,100,81,50.72,136.64,"solnechnyy, ru",60.54,3.11
75,0,80,-33.93,18.42,"cape town, za",43.43,1.12
76,92,64,27.79,120.09,"wencheng, cn",88.08,1.9
77,100,96,69.7,170.27,"pevek, ru",40.02,7.36
78,12,74,-9.8,-139.03,"atuona, pf",79.08,21.54
79,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
80,40,88,-4.62,55.45,"victoria, sc",78.8,14.99
81,44,74,-46.6,168.33,"bluff, nz",46.99,11.01
82,100,75,10.93,108.1,"phan thiet, vn",82.14,10.04
83,1,80,69.22,-51.1,"ilulissat, gl",39.2,3.36
84,97,89,45.05,136.61,"terney, ru",62.34,5.53
85,0,83,37.61,28.06,"cine, tr",69.91,0.56
86,20,39,60.72,-135.06,"whitehorse, ca",59.43,4.7
87,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
88,75,88,-53.16,-70.91,"punta arenas, cl",35.29,23.04
89,5,54,55.31,79.68,"ubinskoye, ru",56.04,10.36
90,88,78,14.9,-24.5,"sao filipe, cv",78.54,10.11
91,95,59,-1.24,116.86,"balikpapan, id",82.14,6.13
92,75,86,-42.48,-73.76,"castro, cl",41.0,6.93
93,61,60,4.36,96.17,"simpang, id",87.54,0.81
94,75,81,78.22,15.64,"longyearbyen, sj",46.4,8.05
95,1,82,39.95,-94.76,"kodiak, us",66.04,5.82
96,75,83,33.37,134.14,"muroto, jp",82.4,4.7
97,0,38,-35.02,117.88,"albany, au",73.4,13.87
98,95,94,-21.21,-159.78,"avarua, ck",71.6,11.41
99,90,100,48.38,-4.62,"plouzane, fr",49.33,2.24
100,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
101,100,90,73.51,80.55,"dikson, ru",43.62,14.79
102,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
103,0,80,-33.64,115.35,"busselton, au",65.39,8.99
104,75,50,-42.78,147.06,"new norfolk, au",54.64,5.82
105,95,92,60.87,60.43,"polunochnoye, ru",38.76,7.78
106,95,94,-21.21,-159.78,"avarua, ck",71.6,11.41
107,40,69,-24.87,113.63,"carnarvon, au",75.2,19.46
108,0,80,-33.64,115.35,"busselton, au",65.39,8.99
109,0,80,-33.64,115.35,"busselton, au",65.39,8.99
110,20,83,17.2,-25.09,"ponta do sol, cv",78.8,11.41
111,0,95,39.66,35.88,"akdagmadeni, tr",55.14,5.14
112,100,80,11.67,92.75,"port blair, in",82.32,21.43
113,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
114,0,73,-34.42,19.24,"hermanus, za",48.99,1.01
115,7,51,-46.28,169.85,"kaitangata, nz",48.99,18.99
116,100,57,70.62,147.9,"chokurdakh, ru",38.22,9.35
117,99,82,-7.93,-14.42,"georgetown, sh",73.32,17.52
118,1,82,39.51,-90.4,"barrow, us",64.72,5.82
119,75,86,-42.48,-73.76,"castro, cl",41.0,6.93
120,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
121,40,61,-19.55,169.27,"isangel, vu",80.6,13.87
122,0,83,-30.17,-50.22,"cidreira, br",62.88,10.6
123,45,55,-46.43,-67.52,"mar del plata, ar",41.1,22.39
124,40,88,27.91,-15.45,"aguimes, es",70.48,19.46
125,100,79,68.75,161.3,"cherskiy, ru",39.12,15.93
126,90,86,69.44,-133.03,"tuktoyaktuk, ca",39.2,17.22
127,100,97,77.48,-69.36,"qaanaaq, gl",34.44,15.64
128,20,83,17.15,-25.02,"pombas, cv",78.8,11.41
129,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
130,8,98,1.65,14.58,"sembe, cg",66.84,3.94
131,1,100,32.35,-90.88,"vicksburg, us",76.93,5.35
132,67,59,-45.87,170.5,"dunedin, nz",51.01,18.01
133,0,69,-2.57,150.8,"kavieng, pg",83.76,2.06
134,40,88,-4.62,55.45,"victoria, sc",78.8,14.99
135,0,83,-30.17,-50.22,"cidreira, br",62.88,10.6
136,90,74,16.78,94.73,"pathein, mm",84.3,1.54
137,75,88,-20.52,57.52,"souillac, mu",68.86,3.36
138,40,48,-16.99,145.42,"mareeba, au",80.89,13.87
139,0,80,-33.93,18.42,"cape town, za",43.43,1.12
140,40,74,25.08,-108.06,"la reforma, mx",82.65,6.93
141,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
142,100,76,45.08,-67.06,"saint andrews, ca",60.01,4.59
143,70,83,60.42,134.54,"ust-maya, ru",58.56,5.82
144,0,42,19.1,37.33,"sawakin, sd",84.12,5.12
145,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
146,22,52,71.98,102.47,"khatanga, ru",61.62,13.47
147,90,93,65.68,-18.09,"akureyri, is",44.6,9.17
148,61,38,-16.36,-58.4,"san matias, bo",80.7,4.0
149,0,38,-35.02,117.88,"albany, au",73.4,13.87
150,100,74,-0.6,73.08,"hithadhoo, mv",83.22,12.01
151,44,74,-46.6,168.33,"bluff, nz",46.99,11.01
152,1,61,20.93,-17.03,"nouadhibou, mr",78.8,14.99
153,75,73,28.66,-17.92,"los llanos de aridane, es",69.37,12.75
154,40,74,24.15,-110.32,"la paz, mx",82.4,3.36
155,1,66,70.47,-68.59,"clyde river, ca",48.2,4.7
156,100,75,3.07,172.79,"butaritari, ki",83.22,11.9
157,97,77,-15.94,-5.72,"jamestown, sh",65.58,21.68
158,13,95,-24.71,33.88,"manjacaze, mz",63.06,0.67
159,40,69,-24.87,113.63,"carnarvon, au",75.2,19.46
160,90,52,-21.36,55.77,"saint-philippe, re",65.53,6.93
161,20,25,46.84,74.98,"balkhash, kz",77.0,2.24
162,75,88,35.37,132.75,"izumo, jp",72.41,6.93
163,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
164,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
165,100,97,77.48,-69.36,"qaanaaq, gl",34.44,15.64
166,100,80,11.67,92.75,"port blair, in",82.32,21.43
167,100,89,56.83,28.28,"krasnogorodsk, ru",55.68,6.82
168,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
169,100,74,-0.6,73.08,"hithadhoo, mv",83.22,12.01
170,40,88,-4.62,55.45,"victoria, sc",78.8,14.99
171,4,96,68.05,39.51,"ostrovnoy, ru",45.06,1.61
172,48,74,-46.13,167.69,"tuatapere, nz",46.99,11.01
173,100,94,60.47,166.1,"tilichiki, ru",49.56,2.21
174,95,94,-21.21,-159.78,"avarua, ck",71.6,11.41
175,0,45,-20.16,28.59,"bulawayo, zw",64.4,8.05
176,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
177,94,90,7.53,-12.5,"bonthe, sl",75.48,8.57
178,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
179,62,25,-1.4,120.75,"poso, id",76.56,5.84
180,61,45,50.57,123.73,"alihe, cn",68.46,7.74
181,60,90,-0.74,-90.35,"puerto ayora, ec",71.01,5.01
182,20,83,17.2,-25.09,"ponta do sol, cv",78.8,11.41
183,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
184,0,15,36.41,64.91,"dawlatabad, af",83.04,3.49
185,0,80,-33.64,115.35,"busselton, au",65.39,8.99
186,75,83,35.03,136.69,"fukue, jp",84.52,3.36
187,0,76,-26.65,15.16,"luderitz, na",50.0,17.22
188,0,52,64.17,-51.74,"nuuk, gl",44.6,18.34
189,40,69,-21.2,-175.2,"vaini, to",75.2,10.29
190,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
191,40,62,62.45,-114.38,"yellowknife, ca",59.0,9.17
192,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
193,81,78,-44.49,171.21,"pareora, nz",48.99,7.0
194,27,81,57.08,-4.05,"kingussie, gb",47.46,5.82
195,0,90,-22.14,48.01,"manakara, mg",59.1,4.54
196,75,81,78.22,15.64,"longyearbyen, sj",46.4,8.05
197,75,50,-42.88,147.33,"hobart, au",54.64,5.82
198,0,38,-35.02,117.88,"albany, au",73.4,13.87
199,90,93,63.84,-22.43,"grindavik, is",48.2,9.17
200,0,81,49.88,42.59,"kumylzhenskaya, ru",45.27,1.01
201,100,97,69.38,178.42,"leningradskiy, ru",41.28,16.89
202,99,85,27.97,-114.04,"guerrero negro, mx",69.36,12.59
203,100,83,-0.72,8.78,"port-gentil, ga",76.2,13.89
204,90,64,47.36,-68.33,"edmundston, ca",67.82,9.17
205,90,82,-13.71,-76.2,"pisco, pe",60.39,9.17
206,100,72,-1.02,-79.44,"san cristobal, ec",75.3,0.76
207,0,82,40.29,38.42,"sebinkarahisar, tr",50.64,1.74
208,97,77,-15.94,-5.72,"jamestown, sh",65.58,21.68
209,0,38,-35.02,117.88,"albany, au",73.4,13.87
210,0,47,-33.18,138.01,"port pirie, au",55.4,9.17
211,100,90,73.51,80.55,"dikson, ru",43.62,14.79
212,0,38,-35.02,117.88,"albany, au",73.4,13.87
213,99,82,-7.93,-14.42,"georgetown, sh",73.32,17.52
214,8,71,24.73,-77.79,"andros town, bs",84.3,4.09
215,100,47,-12.74,-60.15,"vilhena, br",77.82,1.52
216,75,73,28.66,-17.92,"los llanos de aridane, es",69.37,12.75
217,0,80,-33.93,18.42,"cape town, za",43.43,1.12
218,44,74,-46.6,168.33,"bluff, nz",46.99,11.01
219,0,90,66.94,-53.67,"sisimiut, gl",42.9,15.41
220,64,93,60.4,-1.35,"brae, gb",50.31,9.17
221,99,82,-7.93,-14.42,"georgetown, sh",73.32,17.52
222,0,56,-20.7,-64.83,"santa rosa, bo",56.22,2.28
223,40,69,-24.87,113.63,"carnarvon, au",75.2,19.46
224,20,62,35.73,140.83,"hasaki, jp",90.28,17.22
225,0,83,53.1,-111.78,"viking, ca",50.64,8.32
226,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
227,0,70,-33.92,25.57,"port elizabeth, za",46.4,3.36
228,1,82,39.51,-90.4,"barrow, us",64.72,5.82
229,27,74,-23.12,-134.97,"rikitea, pf",70.62,15.03
230,0,73,-34.42,19.24,"hermanus, za",48.99,1.01
231,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
232,1,83,30.04,-94.42,"nome, us",77.61,4.29
233,60,90,-0.74,-90.35,"puerto ayora, ec",71.01,5.01
234,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
235,5,65,22.89,-109.91,"cabo san lucas, mx",80.94,4.7
236,94,80,4.14,96.13,"meulaboh, id",80.52,6.22
237,100,97,50.68,156.12,"severo-kurilsk, ru",49.74,8.03
238,75,88,-20.41,57.7,"mahebourg, mu",68.88,3.36
239,0,58,60.37,92.63,"teya, ru",56.58,3.13
240,100,97,69.38,178.42,"leningradskiy, ru",41.28,16.89
241,90,97,-54.81,-68.31,"ushuaia, ar",35.6,18.34
242,1,66,22.08,-159.32,"kapaa, us",84.52,10.29
243,100,75,3.07,172.79,"butaritari, ki",83.22,11.9
